親,子,類似点
男0,男24,1
男0,男17,1
男0,男55,1
男0,女17,1
男0,女22,1
男0,女4,1
男1,男23,1
男1,男32,1
男1,男44,1
男1,女6,1
男1,女46,1
男1,女30,1
男3,男49,1
男3,男1,1
男3,男18,1
男3,女2,1
男3,女19,1
男3,女44,1
男4,男6,1
男4,男61,1
男4,男5,1
男4,女0,1
男4,女11,1
男4,女43,1
男5,男19,1
男5,男44,1
男5,男26,1
男5,女3,1
男5,女15,1
男5,女45,1
男6,男30,1
男6,男55,1
男6,男34,1
男6,女0,1
男6,女21,1
男6,女25,1
男7,男33,1
男7,男41,1
男7,男53,1
男7,女24,1
男7,女33,1
男7,女13,1
男8,男58,1
男8,男13,1
男8,男0,1
男8,女41,1
男8,女29,1
男8,女0,1
男11,男36,1
男11,男40,1
男11,男57,1
男11,女16,1
男11,女37,1
男11,女41,1
男12,男23,1
男12,男21,1
男12,男20,1
男12,女31,1
男12,女21,1
男12,女28,1
男13,男22,1
男13,男11,1
男13,男14,1
男13,女12,1
男13,女32,1
男13,女5,1
男14,男27,1
男14,男45,1
男14,男41,1
男14,女13,1
男14,女47,1
男14,女27,1
男16,男4,1
男16,男8,1
男16,男26,1
男16,女48,1
男16,女42,1
男16,女8,1
男17,男30,1
男17,男38,1
男17,男53,1
男17,女35,1
男17,女5,1
男17,女8,1
男18,男1,1
男18,男21,1
男18,男22,1
男18,女1,1
男18,女19,1
男18,女16,1
男19,男34,1
男19,男44,1
男19,男32,1
男19,女3,1
男19,女15,1
男19,女14,1
男20,男19,1
男20,男42,1
男20,男61,1
男20,女41,1
男20,女4,1
男20,女33,1
男21,男27,1
男21,男30,1
男21,男14,1
男21,女26,1
男21,女37,1
男21,女31,1
男22,男12,1
男22,男23,1
男22,男24,1
男22,女12,1
男22,女18,1
男22,女13,1
男23,男17,1
男23,男53,1
男23,男36,1
男23,女23,1
男23,女34,1
男23,女27,1
男24,男7,1
男24,男3,1
男24,男17,1
男24,女37,1
男24,女22,1
男24,女14,1
男26,男42,1
男26,男1,1
男26,男61,1
男26,女38,1
男26,女14,1
男26,女32,1
男27,男7,1
男27,男41,1
男27,男24,1
男27,女26,1
男27,女3,1
男27,女18,1
男30,男1,1
男30,男5,1
男30,男57,1
男30,女27,1
男30,女20,1
男30,女25,1
男32,男16,1
男32,男40,1
男32,男12,1
男32,女29,1
男32,女46,1
男32,女0,1
男33,男55,1
男33,男38,1
男33,男13,1
男33,女3,1
男33,女33,1
